Feature,Coefficient,Abs_Coefficient
Title_Master,1.3981143785759909,1.3981143785759909
Sex_female,1.3092847675465358,1.3092847675465358
Sex_Pclass_female_2,0.9929324211921967,0.9929324211921967
AgeBin_Pclass_Child_2,0.9894356488973686,0.9894356488973686
Title_Mr,-0.9178799591982175,0.9178799591982175
Deck_E,0.8538491111734186,0.8538491111734186
FamilySize,-0.7340502219394488,0.7340502219394488
Deck_D,0.7169794770706687,0.7169794770706687
Sex_Pclass_female_1,0.7063922738992742,0.7063922738992742
Title_Pclass_Master_2,0.6785785845161244,0.6785785845161244
AgeBin_Pclass_Senior_1,-0.6496622634798217,0.6496622634798217
Title_Pclass_Rare_2,-0.6326485582429137,0.6326485582429137
Title_Rare,-0.5895272291246353,0.5895272291246353
FareBin_VeryHighFare,0.5371184001480264,0.5371184001480264
AgeBin_Pclass_Teenager_1,0.5323685317604603,0.5323685317604603
AgeBin_Child,0.48643648006865536,0.48643648006865536
Title_Mrs,0.48573533343447484,0.48573533343447484
AgeBin_Pclass_MiddleAged_1,0.48145812304232327,0.48145812304232327
Deck_U,-0.4643712425974517,0.4643712425974517
Pclass_1,0.4419861821119499,0.4419861821119499
AgeBin_Pclass_Senior_2,0.4249766759344584,0.4249766759344584
AgeBin_Pclass_MiddleAged_2,-0.4076883829315452,0.4076883829315452
AgeBin_Teenager,0.39905427324820386,0.39905427324820386
AgeBin_Pclass_MiddleAged_3,-0.39701757281710753,0.39701757281710753
Embarked_C,0.3949231323025956,0.3949231323025956
Sex_Pclass_female_3,-0.3904290946640838,0.3904290946640838
FareBin_LowFare,-0.36733063172057107,0.36733063172057107
Deck_B,0.3649168974372286,0.3649168974372286
Title_Pclass_Mr_2,-0.3638667715145184,0.3638667715145184
Sex_male,-0.3273390109244912,0.3273390109244912
AgeBin_MiddleAged,-0.3232434558937717,0.3232434558937717
Sex_Pclass_male_2,-0.3179390594980617,0.3179390594980617
Title_Pclass_Mr_1,-0.31661816908051676,0.31661816908051676
Title_Pclass_Miss_2,0.2957244623039372,0.2957244623039372
Title_Pclass_Mrs_2,0.27610101759386174,0.27610101759386174
Embarked_Q,0.2626734196206528,0.2626734196206528
Pclass_2,0.2539699357481056,0.2539699357481056
FareBin_HighFare,0.25352317225552085,0.25352317225552085
Title_Pclass_Master_1,0.2270355652313718,0.2270355652313718
Title_Miss,0.18445685844573861,0.18445685844573861
Deck_G,-0.14969459327474852,0.14969459327474852
Pclass_3,-0.13503198849040546,0.13503198849040546
Deck_T,-0.10792410438228221,0.10792410438228221
Title_Pclass_Miss_3,-0.10231825332032196,0.10231825332032196
Embarked_S,-0.09676769180062625,0.09676769180062625
Title_Pclass_Mrs_1,0.07635537810651995,0.07635537810651995
AgeBin_Pclass_Adult_1,0.07232148424952871,0.07232148424952871
AgeBin_Senior,-0.058013153840617455,0.058013153840617455
AgeBin_Adult,0.05656082599062968,0.05656082599062968
Deck_C,-0.0563695265812433,0.0563695265812433
AgeBin_Pclass_Adult_2,-0.02110097187238605,0.02110097187238605
AgeBin_Pclass_Adult_3,0.005408373565021111,0.005408373565021111
Title_Pclass_Miss_1,0.0,0.0
Title_Pclass_Master_3,0.0,0.0
AgeBin_Pclass_Teenager_3,0.0,0.0
AgeBin_Pclass_Teenager_2,0.0,0.0
Title_Pclass_Mr_3,0.0,0.0
AgeBin_Pclass_Senior_3,0.0,0.0
AgeBin_Pclass_Child_3,0.0,0.0
Title_Pclass_Mrs_3,0.0,0.0
Title_Pclass_Rare_1,0.0,0.0
AgeBin_Pclass_Child_1,0.0,0.0
FareBin_MedFare,0.0,0.0
Deck_F,0.0,0.0
Sex_Pclass_male_1,0.0,0.0
Deck_A,0.0,0.0
Sex_Pclass_male_3,0.0,0.0
